"I.P01" "I.P07" "I.P11" "I.S07" "I.S29" "I.S34" "I.W31" "I.W32" "I.W33" "S.P03" "S.P09" "S.P12" "S.S05" "S.S08" "S.S32" "S.W20" "S.W36" "S.W37"
"Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales.Succinivibrionaceae.Succinivibrio.Succinivibrio sp." 149 26 46 102 113 45 16 30 83 110 122 86 150 44 32 43 23 22
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae.Campylobacter.Campylobacter concisus" 148 410 79 166 173 1008 89 227 77 132 93 242 185 54 141 27 105 94
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Methylobacteriaceae.Microvirga.Microvirga sp. 17 mud 1-3" 144 0 0 0 0 0 4 1 0 2 0 6 76 12 0 1 3 2
"Bacteria.Proteobacteria.Betaproteobacteria.NA.NA.NA.Betaproteobacteria bacterium SCN2" 144 30 8 121 20 5 25 21 126 133 157 20 57 9 1 43 20 63
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Yersiniaceae.Serratia.Serratia marcescens" 141 30 171 78 61 30 28 30 45 72 72 126 144 127 306 35 47 7
"Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.Mannheimia.Mannheimia haemolytica" 140 103 38 93 167 32 33 214 81 64 90 26 77 90 18 206 153 37
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Enterobacillus.Enterobacillus tribolii" 140 2 2 116 3 4 3 8 4 154 163 3 63 5 0 0 4 7
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfonatronaceae.Desulfonatronum.Desulfonatronum lacustre" 137 11 0 66 38 10 2 0 15 104 149 2 64 17 1 8 1 1
"Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales.Succinivibrionaceae.Ruminobacter.Ruminobacter sp. RM87" 137 100 64 149 98 179 28 53 54 140 39 97 317 25 18 25 34 31
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Sutterellaceae.Sutterella.Sutterella sp. AM11-39" 136 237 201 281 412 127 1315 1413 1638 202 326 174 425 167 120 1968 878 764
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Rhizobiaceae.Rhizobium.Rhizobium sp. NT-26" 135 83 29 56 147 116 122 110 91 44 52 219 200 82 51 27 123 76
"Bacteria.Proteobacteria.Gammaproteobacteria.Alteromonadales.Shewanellaceae.Shewanella.Shewanella mangrovi" 135 18 26 34 87 82 28 32 21 68 26 101 79 25 15 41 55 33
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Rhodospirillaceae.Azospirillum.Azospirillum brasilense" 132 50 92 91 129 48 17 89 46 38 32 54 87 61 222 39 82 19
"Bacteria.Proteobacteria.Deltaproteobacteria.Myxococcales.Sandaracinaceae.NA.Sandaracinaceae bacterium" 131 6 4 21 11 8 10 7 37 5 9 21 96 13 2 0 11 20
"Bacteria.Proteobacteria.Gammaproteobacteria.Vibrionales.Vibrionaceae.Photobacterium.Photobacterium damselae" 129 26 6 25 10 11 9 35 29 6 17 9 62 11 4 21 18 11
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae.Campylobacter.Campylobacter sputorum" 122 371 47 99 41 136 28 7 15 18 68 157 42 4 53 11 5 49
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae.Campylobacter.Campylobacter helveticus" 122 2 172 2 460 1172 329 2 14 7 68 0 126 0 509 42 13 490
"Bacteria.Proteobacteria.Gammaproteobacteria.Thiotrichales.Thiotrichaceae.Cocleimonas.Cocleimonas flava" 121 2 3 6 10 0 8 17 18 13 10 2 42 5 174 17 16 9
"Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.Pseudomonas.Pseudomonas aeruginosa" 120 40 27 105 116 35 44 54 51 90 71 38 215 45 21 34 149 106
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae.Campylobacter.Campylobacter lanienae" 120 86 172 128 67 53 49 23 20 55 124 59 46 116 76 17 173 55
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae.Campylobacter.Campylobacter upsaliensis" 119 3 135 4 375 949 276 4 15 4 60 13 102 1 414 42 3 395
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfobacterales.Desulfobulbaceae.NA.Desulfobulbaceae bacterium" 118 145 64 146 129 75 49 471 77 119 114 165 133 43 78 32 30 59
"Bacteria.Proteobacteria.Zetaproteobacteria.NA.NA.NA.Zetaproteobacteria bacterium" 115 165 93 194 243 67 71 561 148 120 86 149 187 50 106 76 446 266
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae.Campylobacter.Campylobacter sp. MIT 99-7217" 114 1 168 6 397 996 302 9 20 18 51 3 96 0 386 38 6 381
"Bacteria.Proteobacteria.Gammaproteobacteria.Methylococcales.Methylococcaceae.Methylomicrobium.Methylomicrobium sp. wino1" 114 35 1 2 3 18 1 1 0 1 0 4 155 29 0 0 3 3
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Tabrizicola.Tabrizicola sp. DJC" 114 0 0 0 0 0 7 0 1 1 2 11 70 8 0 0 2 1
"Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.Luteimonas.Luteimonas sp. 100111" 110 0 0 41 0 0 0 0 0 75 102 0 29 0 0 0 0 0
"Bacteria.Proteobacteria.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae.NA.Sphingomonadaceae bacterium KCTC 52780" 110 0 14 4 27 4 1 21 17 20 11 5 2 29 3 13 2 4
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.Desulfovibrio.Desulfovibrio desulfuricans" 106 895 148 229 397 274 49 69 457 168 117 152 404 164 265 102 594 87
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfobacterales.Desulfobacteraceae.Desulfobacterium.uncultured Desulfobacterium sp." 106 52 86 105 124 27 204 330 183 318 59 56 191 41 65 48 101 41
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.Tateyamaria.Tateyamaria omphalii" 105 1 0 46 1 0 0 0 1 36 100 41 24 0 40 0 1 0
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Sutterellaceae.Sutterella.Sutterella megalosphaeroides" 104 64 129 143 156 70 742 770 944 150 163 29 174 127 52 1148 475 446
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Morganellaceae.Providencia.Providencia stuartii" 103 34 10 11 16 18 9 54 159 15 14 17 26 16 8 3 53 128
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.Desulfovibrio.Desulfovibrio fairfieldensis" 103 272 106 138 215 333 80 108 954 14 93 110 65 71 150 149 1035 50
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.Desulfovibrio.Desulfovibrio litoralis" 103 188 51 102 121 196 59 57 336 49 52 61 97 62 81 39 111 27
"Bacteria.Proteobacteria.Betaproteobacteria.Neisseriales.Neisseriaceae.Neisseria.Neisseria meningitidis" 102 8 35 23 264 10 9 29 18 9 14 23 68 18 11 10 27 18
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Sutterellaceae.Sutterella.Sutterella seckii" 101 24 40 38 100 44 116 97 136 27 53 87 117 44 15 149 84 47
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Methylocystaceae.Methylocystis.Methylocystis rosea" 100 1 2 3 18 0 0 0 7 1 4 1 4 41 5 0 1 2
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Citrobacter.Citrobacter freundii" 99 71 14 104 132 32 40 74 97 63 60 50 69 37 20 21 217 61
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Rhizobiaceae.Agrobacterium.Agrobacterium genomosp. 2" 99 1 0 60 5 0 0 0 1 104 112 29 38 28 21 0 56 1
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae.Campylobacter.Campylobacter sp. US33a" 98 3 153 11 393 1031 279 11 6 8 60 1 110 3 452 39 4 379
"Bacteria.Proteobacteria.Gammaproteobacteria.Alteromonadales.Alteromonadaceae.Alteromonas.Alteromonas pelagimontana" 96 10 8 11 43 4 1 1 9 10 19 4 86 42 3 1 1 3
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae.Campylobacter.Campylobacter avium" 95 15 104 46 284 646 192 28 15 23 34 36 91 39 345 26 16 292
"Bacteria.Proteobacteria.Gammaproteobacteria.Oceanospirillales.Endozoicomonadaceae.Endozoicomonas.Endozoicomonas atrinae" 94 60 94 93 84 28 43 31 37 18 38 41 37 27 208 42 36 20
"Bacteria.Proteobacteria.Gammaproteobacteria.Legionellales.Legionellaceae.Legionella.Legionella pneumophila" 93 58 57 60 21 32 20 25 41 82 67 47 187 21 88 12 37 11
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfonatronaceae.Desulfonatronum.Desulfonatronum thioautotrophicum" 93 27 3 18 34 50 4 15 11 1 15 30 17 27 60 1 15 4
"Bacteria.Proteobacteria.Alphaproteobacteria.Pelagibacterales.Pelagibacteraceae.NA.Pelagibacteraceae bacterium TMED195" 93 5 10 2 0 2 3 1 0 7 0 16 61 12 2 0 5 14
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Hyphomicrobiaceae.Hyphomicrobium.Hyphomicrobium sp." 92 5 8 22 89 26 7 10 12 4 11 20 32 5 15 0 31 15
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Acetobacteraceae.Rhodopila.Rhodopila globiformis" 90 24 13 8 7 151 7 38 204 16 90 5 58 17 0 0 55 16
"Bacteria.Proteobacteria.Gammaproteobacteria.Alteromonadales.Alteromonadaceae.Catenovulum.Catenovulum agarivorans" 90 34 3 51 14 9 4 8 15 11 46 2 10 40 13 1 9 36
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Oxalobacteraceae.Duganella.Duganella sp. DN04" 90 5 1 8 10 1 2 26 6 2 4 3 10 38 9 1 1 1
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Sutterellaceae.Sutterella.Sutterella parvirubra" 89 71 92 143 72 65 640 651 772 135 167 27 162 58 31 899 469 349
"Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales.Succinivibrionaceae.Anaerobiospirillum.Anaerobiospirillum thomasii" 88 82 107 128 164 82 76 222 145 112 167 80 151 61 178 57 212 57
"Bacteria.Proteobacteria.Gammaproteobacteria.Oceanospirillales.Halomonadaceae.Halovibrio.Halovibrio variabilis" 87 2 0 58 12 0 0 1 0 2 119 5 67 0 1 0 0 1
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Sutterellaceae.Sutterella.Sutterella wadsworthensis" 87 86 77 134 77 73 272 291 567 187 105 43 158 58 27 679 262 135
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.Desulfovibrio.Desulfovibrio cuneatus" 87 151 34 122 171 322 50 71 379 48 46 74 139 43 84 69 66 34
"Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Acinetobacter.Acinetobacter sp. CAG:196_36_41" 87 464 78 1014 321 195 163 200 427 59 329 139 253 630 282 27 237 337
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.Desulfovibrio.uncultured Desulfovibrio sp." 85 737 193 181 287 650 91 172 483 88 104 343 97 66 156 61 590 38
"Bacteria.Proteobacteria.Gammaproteobacteria.Alteromonadales.Colwelliaceae.Colwellia.Colwellia sp. TT2012" 85 16 2 2 0 0 1 0 0 0 79 0 14 3 3 1 1 0
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.NA.NA.Burkholderiales bacterium" 85 107 100 170 174 64 494 637 636 258 175 92 236 86 89 737 526 270
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfuromonadales.Geobacteraceae.Geobacter.Geobacter sp." 84 54 75 54 124 82 35 192 68 38 31 50 70 43 94 15 83 60
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Sutterellaceae.Sutterella.Sutterella sp. CAG:397" 84 92 97 90 40 34 155 125 200 239 59 69 164 48 39 217 100 100
"Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.Pasteurella.Pasteurella multocida" 82 37 33 100 38 25 17 155 37 85 55 36 63 20 29 5 81 7
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae.Campylobacter.Campylobacter troglodytis" 82 21 64 11 202 437 120 5 30 33 36 5 41 17 225 21 11 156
"Bacteria.Proteobacteria.Alphaproteobacteria.NA.NA.NA.Alphaproteobacteria bacterium MarineAlpha11_Bin1" 82 11 5 15 110 5 1 24 2 20 45 7 11 5 3 2 30 2
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.Desulfovibrio.Desulfovibrio alaskensis" 81 181 48 108 175 331 99 85 412 72 63 91 199 63 117 81 58 63
"Bacteria.Proteobacteria.Alphaproteobacteria.NA.NA.Micavibrio.Micavibrio aeruginosavorus" 81 59 74 133 98 40 15 118 159 70 107 157 43 78 120 15 163 249
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.Desulfovibrio.Desulfovibrio legallii" 81 768 89 101 194 461 71 88 739 61 57 89 167 66 71 69 472 45
"Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.Pseudomonas.Pseudomonas chlororaphis" 81 7 16 14 32 83 31 16 54 31 17 15 45 16 12 1 32 37
"Bacteria.Proteobacteria.Gammaproteobacteria.Cellvibrionales.Cellvibrionaceae.Cellvibrio.Cellvibrio sp. PSBB006" 81 0 0 3 10 3 13 16 14 6 7 2 10 28 4 3 3 11
"Bacteria.Proteobacteria.Gammaproteobacteria.Oceanospirillales.Oceanospirillaceae.Bermanella.Bermanella marisrubri" 80 12 0 3 17 4 8 9 17 1 3 4 8 2 1 12 2 5
"Bacteria.Proteobacteria.Epsilonproteobacteria.NA.NA.NA.Epsilonproteobacteria bacterium" 80 33 25 64 44 86 34 92 145 74 38 42 95 24 10 10 73 43
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.Pseudodesulfovibrio.Pseudodesulfovibrio hydrargyri" 80 21 14 15 47 27 11 17 12 18 11 10 54 21 14 10 7 13
"Bacteria.Proteobacteria.Gammaproteobacteria.Chromatiales.Ectothiorhodospiraceae.Thioalkalivibrio.Thioalkalivibrio paradoxus" 79 3 8 5 2 2 18 8 12 4 3 3 36 4 2 40 15 2
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Sutterellaceae.Duodenibacillus.Duodenibacillus massiliensis" 79 50 43 104 154 32 224 383 523 225 188 25 146 45 34 551 340 190
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Erwiniaceae.Buchnera.Buchnera aphidicola" 78 25 33 70 37 36 27 30 24 18 31 58 131 21 26 15 118 60
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Burkholderiaceae.Chitinimonas.Chitinimonas taiwanensis" 78 7 1 7 7 10 9 13 20 7 2 5 28 24 3 9 3 6
"Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.Pseudomonas.Pseudomonas sp. QZS01" 78 9 10 18 86 78 13 17 36 11 4 38 32 6 14 3 20 14
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Rhizobiaceae.Sinorhizobium.Sinorhizobium meliloti" 77 7 23 65 11 9 8 9 6 52 57 6 100 6 10 0 24 5
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.Desulfovibrio.Desulfovibrio inopinatus" 77 154 11 53 55 64 17 46 116 34 13 51 48 35 72 9 63 29
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfobacterales.Desulfobulbaceae.Desulfobulbus.Desulfobulbus oralis" 77 219 65 209 221 216 112 278 174 156 107 108 100 77 106 196 87 111
"Bacteria.Proteobacteria.Gammaproteobacteria.Cellvibrionales.Cellvibrionaceae.Cellvibrio.Cellvibrio mixtus" 76 1 19 12 46 3 4 5 5 2 3 5 22 3 0 0 4 17
"Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.Lysobacter.Lysobacter sp." 76 3 5 1 20 2 1 2 9 6 2 7 9 43 2 12 2 4
"Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.Pseudoxanthomonas.Pseudoxanthomonas sp. SGD-10" 76 94 14 44 195 45 32 153 382 60 47 41 91 63 125 4 19 327
"Bacteria.Proteobacteria.Gammaproteobacteria.Alteromonadales.Shewanellaceae.Shewanella.Shewanella corallii" 75 11 8 42 19 2 27 3 12 34 10 8 11 38 1 9 19 8
"Bacteria.Proteobacteria.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae.Sphingomonas.Sphingomonas panacis" 75 2 0 55 3 1 0 0 1 65 91 0 29 0 2 0 1 1
"Bacteria.Proteobacteria.Oligoflexia.Bacteriovoracales.Bacteriovoracaceae.Bacteriovorax.Bacteriovorax sp. MedPE-SWde" 73 4 8 6 52 8 0 1 11 34 4 23 7 27 3 0 2 7
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Bradyrhizobiaceae.Bosea.Bosea sp." 73 0 0 0 2 2 0 0 0 0 2 1 2 0 109 0 0 0
"Bacteria.Proteobacteria.Deltaproteobacteria.NA.NA.NA.Deltaproteobacteria bacterium RBG_16_50_11" 71 1 2 1 3 17 3 8 1 4 3 6 9 0 1 0 1 4
"Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.NA.NA.Xanthomonadales bacterium" 71 52 55 29 69 89 39 486 43 130 58 44 57 26 29 39 29 76
"Bacteria.Proteobacteria.Deltaproteobacteria.Myxococcales.Polyangiaceae.Sorangium.Sorangium cellulosum" 70 74 83 88 90 71 36 649 81 141 96 87 86 26 107 58 54 99
"Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.Haemophilus.Haemophilus haemolyticus" 70 71 13 38 71 18 26 132 20 37 21 107 42 33 25 2 98 9
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae.Campylobacter.Campylobacter insulaenigrae" 70 6 53 43 136 334 95 1 8 4 11 3 45 8 137 13 19 160
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae.Campylobacter.Campylobacter sp. MIT 17-664" 70 0 76 1 201 456 148 1 8 5 22 0 40 0 204 21 0 155
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Burkholderiaceae.Burkholderia.Burkholderia multivorans" 69 63 65 77 139 18 6 76 24 76 20 41 31 54 71 1 135 6
"Bacteria.Proteobacteria.Alphaproteobacteria.NA.NA.NA.Alphaproteobacteria bacterium CG11_big_fil_rev_8_21_14_0_20_39_49" 69 36 13 22 27 36 5 32 6 17 12 39 45 23 81 0 48 42
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Acetobacteraceae.Acetobacter.Acetobacter syzygii" 68 88 34 34 19 11 9 4 37 619 38 38 417 16 78 0 45 0
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae.Campylobacter.Campylobacter sp. S0112" 68 0 6 28 49 15 18 3 15 1 8 10 29 9 4 0 11 0
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.Pseudodesulfovibrio.Pseudodesulfovibrio profundus" 66 58 34 120 274 101 69 67 45 17 47 52 21 13 184 8 15 2
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Burkholderiaceae.Polynucleobacter.Polynucleobacter asymbioticus" 66 0 1 0 0 512 20 9 6 0 1 8 42 27 0 9 5 4
"Bacteria.Proteobacteria.Deltaproteobacteria.Syntrophobacterales.Syntrophaceae.Smithella.Smithella sp. PtaU1.Bin162" 66 38 19 60 56 25 16 17 39 45 74 40 61 22 26 7 10 6
"Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales.Succinivibrionaceae.Anaerobiospirillum.Anaerobiospirillum succiniciproducens" 65 43 25 77 128 69 48 104 281 56 60 72 110 34 25 40 78 35
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.NA.Rhizobacter.Rhizobacter sp. Root1221" 65 23 0 15 36 1 3 28 2 7 5 31 26 2 75 4 7 2
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfobacterales.Desulfobacteraceae.NA.Desulfobacteraceae bacterium IS3" 65 112 68 128 59 91 51 186 39 60 29 106 74 16 12 15 19 24
"Bacteria.Proteobacteria.Gammaproteobacteria.Aeromonadales.Succinivibrionaceae.Succinatimonas.Succinatimonas sp. CAG:777" 64 71 113 57 62 33 24 31 102 205 79 194 202 75 343 21 32 39
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae.Arcobacter.Arcobacter butzleri" 63 205 50 142 117 210 33 21 63 18 48 98 49 20 100 1 46 45
"Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.Necropsobacter.Necropsobacter rosorum" 63 17 27 18 29 13 13 109 33 28 7 25 36 64 28 17 12 6
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.NA.Rhodobacteraceae bacterium" 63 78 85 119 144 89 28 105 113 179 50 75 148 66 67 11 129 74
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Rhodospirillaceae.Indioceanicola.Indioceanicola profundi" 63 14 13 32 34 9 16 133 50 8 60 60 19 12 37 11 70 71
"Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.Gallibacterium.Gallibacterium anatis" 62 20 54 104 20 21 24 83 53 58 59 7 67 36 22 37 72 40
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfuromonadales.Desulfuromonadaceae.Pelobacter.Pelobacter seleniigenes" 62 32 23 76 96 25 25 74 150 38 33 32 84 32 15 40 121 77
"Bacteria.Proteobacteria.Gammaproteobacteria.Pasteurellales.Pasteurellaceae.Gallibacterium.Gallibacterium salpingitidis" 62 29 40 34 177 42 46 71 17 44 22 33 52 27 25 13 71 25
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.NA.NA.Rhodospirillales bacterium" 62 28 39 70 73 33 28 253 55 152 45 56 100 43 27 35 100 117
"Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Moraxellaceae.Moraxella.Moraxella atlantae" 61 9 6 44 24 1 1 86 30 52 75 7 26 7 1 2 5 3
"Bacteria.Proteobacteria.Alphaproteobacteria.Sphingomonadales.Sphingomonadaceae.Sphingomonas.Sphingomonas soli" 61 3 0 3 6 0 0 0 6 0 4 1 2 33 2 0 0 2
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Burkholderiaceae.Burkholderia.Burkholderia sp. TNe-862" 61 0 0 0 5 1 7 1 1 0 0 3 0 2 4 0 3 0
"Bacteria.Proteobacteria.Gammaproteobacteria.Chromatiales.Chromatiaceae.Candidatus Nitrosoglobus.Candidatus Nitrosoglobus terrae" 61 26 12 54 52 108 54 58 49 11 30 76 87 16 25 26 25 24
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfohalobiaceae.Desulfonauticus.Desulfonauticus sp. 38_4375" 61 94 166 145 61 60 55 144 109 333 85 94 194 69 68 9 48 25
"Bacteria.Proteobacteria.Gammaproteobacteria.Alteromonadales.Alteromonadaceae.Glaciecola.Glaciecola sp. THG-3.7" 61 42 20 16 57 14 22 20 50 65 33 14 30 74 7 41 36 31
"Bacteria.Proteobacteria.Gammaproteobacteria.Alteromonadales.Shewanellaceae.Shewanella.Shewanella colwelliana" 60 1 1 1 12 0 2 2 5 2 2 3 6 21 1 0 0 4
"Bacteria.Proteobacteria.Betaproteobacteria.Neisseriales.Neisseriaceae.Neisseria.Neisseria animalis" 60 68 6 6 7 22 12 12 30 1 4 19 23 11 0 0 7 3
"Bacteria.Proteobacteria.Gammaproteobacteria.Vibrionales.Vibrionaceae.Vibrio.Vibrio splendidus" 60 120 28 99 42 49 4 47 7 78 59 52 29 21 28 34 45 6
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Rhodospirillaceae.Magnetospirillum.Magnetospirillum sp." 60 13 5 9 5 22 8 24 18 8 4 3 21 6 114 19 55 40
"Bacteria.Proteobacteria.Gammaproteobacteria.NA.NA.NA.methanotrophic bacterial endosymbiont of Bathymodiolus sp." 60 18 21 27 45 30 79 105 93 33 25 37 60 19 10 109 74 40
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Hyphomicrobiaceae.Devosia.Devosia soli" 60 0 0 1 11 1 0 1 2 0 1 0 5 29 2 0 2 4
"Bacteria.Proteobacteria.Alphaproteobacteria.Rhodospirillales.Rhodospirillaceae.Haematospirillum.Haematospirillum jordaniae" 60 10 26 35 12 7 3 10 4 9 26 31 23 21 5 0 96 92
"Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Enterobacter.Enterobacter hormaechei" 59 27 27 163 60 11 32 14 321 18 30 34 82 27 10 24 413 330
"Bacteria.Proteobacteria.Deltaproteobacteria.Syntrophobacterales.Syntrophaceae.NA.Syntrophaceae bacterium CG2_30_49_12" 59 3 4 16 1 12 2 0 7 94 18 15 14 0 0 1 1 0
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae.Campylobacter.Campylobacter sp. MIT 10-5678" 59 2 92 2 189 503 109 0 5 4 24 7 43 0 238 13 1 148
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfuromonadales.Geobacteraceae.Geoalkalibacter.Geoalkalibacter subterraneus" 58 78 5 82 32 19 19 37 121 26 66 25 75 22 78 1 27 30
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Campylobacteraceae.Halarcobacter.Halarcobacter ebronensis" 58 2 10 15 16 6 49 50 67 3 9 4 45 3 80 79 8 35
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfobacterales.NA.NA.Desulfobacterales bacterium PC51MH44" 58 11 20 14 18 13 5 12 392 4 4 11 5 8 5 0 3 5
"Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.Pseudomonas.Pseudomonas sp. Hp2" 57 1 0 1 10 1 0 0 9 1 1 0 7 28 1 0 0 3
"Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Burkholderiaceae.Burkholderia.Burkholderia ubonensis" 56 16 21 28 37 13 57 58 57 18 52 12 13 12 17 16 59 14
"Bacteria.Proteobacteria.Deltaproteobacteria.Desulfuromonadales.Geobacteraceae.Geobacter.Geobacter uraniireducens" 56 12 58 38 21 13 29 19 6 18 19 13 52 58 257 1 15 11
"Bacteria.Proteobacteria.Epsilonproteobacteria.Campylobacterales.Helicobacteraceae.Helicobacter.Helicobacter sp. MIT 05-5293" 56 70 16 48 33 62 63 26 12 12 47 25 80 21 49 3 25 46
