"","I.S07","I.S29","I.S34","S.S05","S.S08","S.S32"
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter changchengzhani",94,16,37,172,3,30
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Sphingobacterium*Sphingobacterium sp. NYYP31",119,33,7,51,21,2
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Chitinophaga*Chitinophaga sp. BN140078",37,60,19,31,38,14
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium sp. SSM4.2",9,14,3,8,6,4
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*NA*Flavobacteriaceae bacterium TP-CH-4",114,71,8,24,7,21
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Polaribacter*Polaribacter butkevichii",3,3,29,6,31,106
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cyclobacteriaceae*Belliella*Belliella baltica",26,27,5,26,4,3
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Croceitalea*Croceitalea dokdonensis",9,11,5,20,4,2
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium croceum",125,24,6,18,12,10
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Maribacter*Maribacter polysiphoniae",21,30,10,16,4,16
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cyclobacteriaceae*Algoriphagus*Algoriphagus hitonicola",139,8,9,30,3,12
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium rivuli",61,95,19,20,57,61
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Myroides*Myroides marinus",65,42,9,31,10,7
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Gilvibacter*Gilvibacter sp. SZ-19",56,16,9,30,28,8
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Kordia*Kordia antarctica",6,27,35,6,3,5
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Sediminibacterium*Sediminibacterium sp. C3",32,15,21,9,26,13
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Flavisolibacter*Flavisolibacter tropicus",60,54,17,19,28,11
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Mucilaginibacter*Mucilaginibacter psychrotolerans",56,70,9,19,24,37
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Hymenobacteraceae*Hymenobacter*Hymenobacter terrenus",12,74,30,38,14,15
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Sediminibacterium*Sediminibacterium sp.",35,190,29,49,26,26
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Aquimarina*Aquimarina sp. I32.4",14,5,5,16,3,1
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Polaribacter*Polaribacter sp. ALD11",11,54,8,28,10,12
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Aureitalea*Aureitalea sp. RR4-38",71,111,3,29,1,2
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter chitinilyticus",31,53,26,10,51,18
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter sp. RP-3-21",85,16,14,8,3,15
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter sp. RP-3-22",92,8,15,18,15,1
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*NA*Flavobacteriaceae bacterium F202Z8",7,39,3,31,25,9
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Mucilaginibacter*Mucilaginibacter sp. dk17",107,49,12,41,15,16
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Hymenobacteraceae*Nibribacter*Nibribacter sp. BT10",8,16,17,9,4,5
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Capnocytophaga*Capnocytophaga cynodegmi",15,83,68,18,23,21
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Kriegella*Kriegella aquimaris",72,16,27,42,13,52
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Maribacter*Maribacter ulvicola",1,11,2,7,17,1
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cyclobacteriaceae*Algoriphagus*Algoriphagus terrigena",119,116,25,71,27,21
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium hercynium",3,4,7,6,6,1
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter sp. BAL39",89,156,17,76,53,42
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*NA*NA*Flavobacteriales bacterium ALC-1",32,8,2,16,3,27
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Chryseobacterium*Chryseobacterium bovis",21,6,16,18,7,7
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium fluvii",6,140,63,26,104,12
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter sp. V48",25,90,26,34,15,32
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Lacibacter*Lacibacter cauensis",33,400,16,43,10,18
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*Dyadobacter*Dyadobacter sp. 32",16,51,4,30,45,8
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Lutibacter*Lutibacter flavus",127,160,36,31,20,33
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Myroides*Myroides guanonis",92,35,2,21,50,45
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Zunongwangia*Zunongwangia atlantica",83,77,24,98,54,15
"Bacteria*Bacteroidetes*NA*NA*NA*NA*Bacteroidetes bacterium HLUCCA01",53,29,8,42,37,15
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Capnocytophaga*Capnocytophaga canis",13,63,6,30,16,13
"Bacteria*Bacteroidetes*NA*NA*NA*NA*Bacteroidetes bacterium MedPE-SWsnd-G1",20,23,15,36,18,4
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Chryseobacterium*Chryseobacterium sp. RU37D",15,20,26,60,21,1
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Winogradskyella*Winogradskyella aurantia",32,36,14,44,16,8
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*NA*NA*Sphingobacteriales bacterium UTBCD1",35,39,13,31,11,17
"Bacteria*Bacteroidetes*NA*NA*NA*NA*Bacteroidetes bacterium CG12_big_fil_rev_8_21_14_0_65_60_17",15,43,2,45,4,11
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*NA*Flavobacteriaceae bacterium TMED120",98,84,8,22,35,27
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*NA*Flavobacteriaceae bacterium TMED121",142,28,2,35,7,3
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium sp. 1",18,34,45,18,21,97
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Chryseobacterium*Chryseobacterium sp. 6424",7,52,13,6,3,20
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Gynurincola*Gynurincola endophyticus",36,155,9,79,40,12
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Gramella*Gramella sp. BOM4",44,32,13,75,8,38
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Taibaiella*Taibaiella sp. KVB11",28,296,10,24,33,14
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter africanus",58,66,42,60,39,1
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Flammeovirgaceae*Roseivirga*Roseivirga ehrenbergii",14,4,4,14,1,18
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Eudoraea*Eudoraea adriatica",14,397,36,36,11,4
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cyclobacteriaceae*Algoriphagus*Algoriphagus aquaeductus",29,30,34,23,16,14
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium chungangense",20,79,12,26,31,8
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Mucilaginibacter*Mucilaginibacter ginsenosidivorax",125,8,14,53,5,12
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium aciduliphilum",17,65,7,12,12,8
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Imtechella*Imtechella halotolerans",35,60,47,12,24,12
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Maribacter*Maribacter cobaltidurans",21,27,15,57,32,36
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Psychroserpens*Psychroserpens sp. Hel_I_66",26,7,1,4,1,9
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Sphingobacterium*Sphingobacterium sp. T2",29,68,9,34,26,30
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter sp. Leaf216",18,8,8,15,8,3
"Bacteria*Bacteroidetes*NA*NA*NA*NA*Bacteroidetes bacterium GWE2_29_8",20,36,4,36,9,2
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Mucilaginibacter*Mucilaginibacter sp. OK098",33,291,59,14,11,66
"Bacteria*Bacteroidetes*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides*Bacteroides sp. 41_26",104,129,70,267,19,38
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Flavipsychrobacter*Flavipsychrobacter stenotrophus",43,52,25,79,14,9
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Hymenobacteraceae*Pontibacter*Pontibacter sp. 2b14",50,68,32,49,17,7
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium sp. 270",20,25,27,9,12,7
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Segetibacter*Segetibacter sp. 3557_3",46,174,18,65,36,25
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Myroides*Myroides sp. CJ210",13,29,14,11,3,6
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium sp. LC2016-23",5,18,1,5,1,12
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Chitinophaga*Chitinophaga sp. H33E-04",46,8,18,10,12,29
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Chryseobacterium*Chryseobacterium sp. POL2",53,65,5,65,9,4
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Gelidibacter*Gelidibacter mesophilus",35,15,8,20,1,22
"Bacteria*Bacteroidetes*NA*Bacteroidetes Order II. Incertae sedis*Rhodothermaceae*Rhodothermus*Rhodothermus profundi",39,3,2,7,9,33
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Tenacibaculum*Tenacibaculum sp. SZ-18",44,19,17,21,6,21
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Aureicoccus*Aureicoccus marinus",87,119,33,42,51,13
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Aquimarina*Aquimarina agarivorans",16,205,8,111,12,41
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium urocaniciphilum",118,6,5,59,19,1
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Hymenobacteraceae*Hymenobacter*Hymenobacter wooponensis",15,73,9,4,43,4
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium sp. BBQ-12",35,5,1,3,24,50
"Bacteria*Bacteroidetes*NA*NA*NA*NA*Bacteroidetes bacterium HGW-Bacteroidetes-13",23,178,7,33,13,9
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium sp. 5",35,238,15,166,10,55
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Chryseobacterium*Chryseobacterium sp. 7_F195",14,3,1,1,4,2
"Bacteria*Bacteroidetes*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides*Bacteroides sp. OF03-11BH",214,503,55,70,119,233
"Bacteria*Bacteroidetes*Bacteroidia*Bacteroidales*Muribaculaceae*NA*Muribaculaceae bacterium Isolate-100 (HZI)",38,57,5,118,2,20
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Mucilaginibacter*Mucilaginibacter terrigena",28,57,13,43,16,10
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Oceanihabitans*Oceanihabitans sp. IOP_32",11,79,9,30,4,14
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium sp. MK4S-17",57,23,9,32,35,26
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flagellimonas*Flagellimonas sp. CMM7",6,2,1,5,6,2
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Mariniflexile*Mariniflexile sp. M5A1M",16,116,11,115,16,29
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Flammeovirgaceae*Marivirga*Marivirga tractuosa",70,31,11,86,35,27
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Polaribacter*Polaribacter filamentus",14,63,6,12,3,6
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Mesonia*Mesonia algae",20,4,4,8,12,3
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Bizionia*Bizionia myxarmorum",91,106,12,34,63,52
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Chryseobacterium*Chryseobacterium lathyri",41,15,13,52,36,45
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Chryseobacterium*Chryseobacterium viscerum",7,18,7,13,7,4
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Chryseobacterium*Chryseobacterium carnis",10,3,4,6,14,7
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Formosa*Formosa sp. Hel1_33_131",25,23,7,16,7,4
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Sediminibacter*Sediminibacter sp. Hel_I_10",106,30,7,15,10,4
"Bacteria*Bacteroidetes*Bacteroidia*Bacteroidales*Porphyromonadaceae*Porphyromonas*Porphyromonas sp. COT-108 OH1349",4,28,19,3,7,1
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*Spirosoma*Spirosoma fluviale",2,13,5,14,3,7
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Maribacter*Maribacter flavus",16,65,12,34,59,158
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter sp. BMA",26,16,5,11,6,19
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Euzebyella*Euzebyella marina",80,8,12,32,4,3
"Bacteria*Bacteroidetes*NA*NA*NA*NA*Bacteroidetes bacterium GWF2_33_38",22,15,3,34,29,98
"Bacteria*Bacteroidetes*NA*NA*NA*NA*Bacteroidetes bacterium RBG_13_44_24",78,104,6,49,76,14
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium sp. ACN6",5,17,8,5,13,6
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Chryseobacterium*Chryseobacterium sp. T16E-39",4,7,16,1,9,31
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Aquimarina*Aquimarina sediminis",20,29,10,4,4,3
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Sphingobacterium*Sphingobacterium sp. 2c-3",30,28,12,10,11,10
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter miscanthi",21,144,29,43,23,5
"Bacteria*Bacteroidetes*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides*Bacteroides sp. AF18-33",5,9,2,11,4,10
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Aequorivita*Aequorivita sp. H23M31",35,55,14,12,45,11
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Flavobacterium*Flavobacterium sp. 1E403",46,12,5,4,6,14
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Capnocytophaga*Capnocytophaga gingivalis",16,29,3,48,26,58
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cyclobacteriaceae*Algoriphagus*Algoriphagus aquimarinus",14,54,29,28,17,6
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Mucilaginibacter*Mucilaginibacter lappiensis",20,4,3,3,3,9
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Salegentibacter*Salegentibacter salarius",7,94,2,4,2,18
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Chryseobacterium*Chryseobacterium frigidisoli",30,16,3,27,6,18
"Bacteria*Bacteroidetes*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides*Bacteroides faecis CAG:32",42,12,12,11,8,25
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Crocinitomicaceae*Brumimicrobium*Brumimicrobium aurantiacum",57,279,26,38,25,11
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Psychroflexus*Psychroflexus aestuariivivens",8,66,16,47,15,4
"Bacteria*Bacteroidetes*NA*NA*NA*NA*Bacteroidetes bacterium GWA2_32_17",46,70,12,17,30,21
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter psychrotolerans",22,15,4,15,7,2
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Maribacter*Maribacter sp. 4G9",2,5,7,18,1,2
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cyclobacteriaceae*Mongoliibacter*Mongoliibacter sp.",105,11,8,49,30,19
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Nonlabens*Nonlabens sp. MB-3u-79",61,9,2,18,3,1
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*Runella*Runella sp. SP2",6,80,2,53,2,14
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Nonlabens*Nonlabens sp. MJ115",11,21,5,14,3,5
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*Aquirufa*Aquirufa antheringensis",45,26,7,47,32,5
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Lacinutrix*Lacinutrix sp. CAU 1491",85,6,4,39,6,1
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Hymenobacteraceae*Rufibacter*Rufibacter sp. NBS58-1",47,34,14,37,24,25
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Chryseobacterium*Chryseobacterium koreense",39,26,19,24,4,4
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Zunongwangia*Zunongwangia profunda",9,43,28,45,45,10
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter steynii",22,76,17,49,35,7
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Leptobacterium*Leptobacterium flavescens",52,65,28,51,12,16
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Chryseobacterium*Chryseobacterium piperi",20,5,9,11,12,4
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Blattabacteriaceae*Blattabacterium*Blattabacterium sp. (Blattella germanica)",6,1,6,3,1,2
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Sphingobacterium*Sphingobacterium hotanense",35,214,10,23,18,1
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Hymenobacteraceae*Hymenobacter*Hymenobacter psychrophilus",12,44,6,9,5,2
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*Fibrisoma*Fibrisoma limi",12,30,4,8,53,1
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*NA*NA*Candidatus Uzinura diaspidicola",8,3,2,6,4,1
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Schleiferiaceae*Schleiferia*Schleiferia thermophila",68,126,14,92,34,36
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Hydrotalea*Hydrotalea sandarakina",33,217,15,67,70,7
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Chryseobacterium*Chryseobacterium sp. FH1",14,21,1,11,13,13
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Chryseobacterium*Chryseobacterium zeae",8,9,8,12,6,3
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter xixiisoli",40,18,11,34,8,16
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter nanyangensis",15,4,16,8,4,3
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Flammeovirgaceae*Fabibacter*Fabibacter misakiensis",15,12,12,20,38,2
"Bacteria*Bacteroidetes*NA*NA*NA*NA*Bacteroidetes bacterium OLB11",64,54,5,54,55,9
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter sp. Leaf176",37,64,3,15,13,8
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Mucilaginibacter*Mucilaginibacter pedocola",129,35,11,51,63,11
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Hymenobacteraceae*Pontibacter*Pontibacter sp. S10-8",74,65,7,9,50,30
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Hymenobacteraceae*Hymenobacter*Hymenobacter nivis",27,22,10,13,26,2
"Bacteria*Bacteroidetes*NA*NA*NA*NA*Bacteroidetes bacterium MedPE-SWsnd-G2",10,136,3,11,32,4
"Bacteria*Bacteroidetes*NA*NA*NA*NA*Bacteroidetes bacterium SW_10_40_5",23,178,3,134,18,38
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Croceivirga*Croceivirga radicis",62,65,22,23,21,13
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*NA*NA*Flavobacteriales bacterium MED-G22",19,3,2,18,6,3
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*NA*Flavobacteriaceae bacterium TMED42",3,11,5,1,7,3
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Crocinitomicaceae*Brumimicrobium*Brumimicrobium sp. C305",8,57,4,7,8,10
"Bacteria*Bacteroidetes*Sphingobacteriia*Sphingobacteriales*Sphingobacteriaceae*Pedobacter*Pedobacter sp. YR016",40,144,26,47,32,43
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Marixanthomonas*Marixanthomonas sp. HN-E44",4,30,14,12,5,8
"Bacteria*Bacteroidetes*Bacteroidia*Marinilabiliales*Marinifilaceae*Marinifilum*Marinifilum sp. JC120",9,10,4,3,3,2
"Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Lacibacter*Lacibacter luteus",28,11,15,11,12,7
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*Spirosoma*Spirosoma sp. KCTC 42546",3,18,3,18,17,5
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Formosa*Formosa sediminum",2,16,4,6,10,2
"Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Kriegella*Kriegella sp. EG-1",43,37,6,10,9,5
"Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Hymenobacteraceae*Hymenobacter*Hymenobacter sp. HMF4947",15,143,5,66,10,5
